No.,Company Name,Industry,Official Website,Privacy Policy URL,Date Collected,URL Access Check
1,Grameenphone Limited,Telecommunications,https://www.grameenphone.com,https://www.grameenphone.com/privacy-notice,8/26/2026,Official page opened or indexed
2,Robi Axiata PLC,Telecommunications,https://www.robi.com.bd,https://www.robi.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
3,Banglalink Digital Communications Limited,Telecommunications,https://www.banglalink.net,https://banglalink.net/legal,8/26/2026,Official page opened or indexed
4,Teletalk Bangladesh Limited,Telecommunications,https://www.teletalk.com.bd,https://www.teletalk.com.bd/en/privacy-policy,8/26/2026,Official page opened or indexed
5,Link3 Technologies Limited,Internet Service Provider,https://www.link3.net,https://www.link3.net/privacy-and-policy,8/26/2026,Official page opened or indexed
6,Bangladesh Export Import Company Limited - IT Division,Software and IT,https://bol-online.com,https://bol-online.com/privacy-policy,8/26/2026,Official page opened or indexed
7,Dhaka Power Distribution Company Limited,Utilities and Digital Services,https://dpdc.org.bd,https://dpdc.org.bd/site/privacy-policy.html,8/26/2026,Official page opened or indexed
8,bKash Limited,Mobile Financial Services,https://www.bkash.com,https://www.bkash.com/en/page/privacy-notice,8/26/2026,Official page opened or indexed
9,Nagad Limited,Mobile Financial Services,https://nagad.com.bd,https://nagad.com.bd/pg/?n=privacy-policy,8/26/2026,Official page opened or indexed
10,UCB Fintech Company Limited - upay,Mobile Financial Services,https://www.upaybd.com,https://privacypolicy.upaybd.com/,8/26/2026,Official page opened or indexed
11,BASIC Bank PLC,Banking,https://basicbankplc.com,https://basicbankplc.com/en/page-details/basic-i-account-privacy-policy,8/26/2026,Official page opened or indexed
12,BRAC Bank PLC,Banking,https://www.bracbank.com,https://bblcorpnet.bracbank.com/privacy-policy,8/26/2026,Official page opened or indexed
13,Bank Asia PLC,Banking,https://www.bankasia-bd.com,https://bankasia-bd.com/link/App-Privacy-Policy.html,8/26/2026,Official page opened or indexed
14,Prime Bank PLC,Banking,https://www.primebank.com.bd,https://primepay-mobileapp.primebank.com.bd/privacy_policy_new.html,8/26/2026,Official page indexed; direct open inconclusive
15,Mutual Trust Bank PLC,Banking,https://www.mutualtrustbank.com,https://ibank.mutualtrustbank.com/privacy_policy.html,8/26/2026,Official page opened or indexed
16,Eastern Bank PLC,Banking,https://www.ebl.com.bd,https://ebl.com.bd/links/privacy_policy_of_ebl_skybanking.html,8/26/2026,Official page opened or indexed
17,State Bank of India - Bangladesh Operations,Banking,https://bd.statebank,https://bd.statebank/privacy-policy,8/26/2026,Official page opened or indexed
18,HSBC Bangladesh,Banking,https://www.business.hsbc.com.bd,https://www.business.hsbc.com.bd/en-gb/regulations/privacy,8/26/2026,Official page opened or indexed
19,Bangladesh Finance PLC,Non-bank Financial Institution,https://bd.finance,https://bd.finance/privacy-policy,8/26/2026,Official page opened or indexed
20,LankaBangla Finance PLC,Non-bank Financial Institution,https://www.lankabangla.com,https://www.lankabangla.com/privacy-policy/,8/26/2026,Official page opened or indexed
21,MetLife Bangladesh,Insurance,https://www.metlife.com.bd,https://www.metlife.com.bd/online-privacy-policy/,8/26/2026,Official page opened or indexed
22,Bengal Islami Life Insurance Limited,Insurance,https://www.bengalislamilife.com.bd,https://www.bengalislamilife.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
23,Pickaboo - Silver Water Technologies Bangladesh Limited,E-commerce,https://www.pickaboo.com,https://www.pickaboo.com/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
24,Daraz Bangladesh Limited,E-commerce Marketplace,https://www.daraz.com.bd,https://www.daraz.com.bd/privacy-policy/,8/26/2026,Official page opened or indexed
25,Othoba.com,E-commerce,https://www.othoba.com,https://www.othoba.com/privacy-policy,8/26/2026,Official page opened or indexed
26,Shajgoj Limited,Beauty Retail and E-commerce,https://shop.shajgoj.com,https://shop.shajgoj.com/privacy-policy,8/26/2026,Official page opened or indexed
27,Chaldal Limited,Online Grocery and E-commerce,https://chaldal.com,https://chaldal.com/t/PrivacyInfo,8/26/2026,Official page opened or indexed
28,Bproperty.com Limited,Real Estate Marketplace,https://www.bproperty.com,https://www.bproperty.com/privacy-policy,8/26/2026,Official page opened or indexed
29,Shohoz Limited,Travel and Ticketing,https://www.shohoz.com,https://www.shohoz.com/privacy-policy,8/26/2026,Official page opened or indexed
30,Truck Lagbe Limited,Logistics Marketplace,https://trucklagbe.com,https://trucklagbe.com/privacy-policy,8/26/2026,Official page opened or indexed
31,GoZayaan Limited,Online Travel Agency,https://gozayaan.com,https://gozayaan.com/privacy-policy,8/26/2026,Official page opened or indexed
32,ShareTrip Limited,Online Travel Agency,https://sharetrip.net,https://b2b.sharetrip.net/privacy-policy,8/26/2026,Official page opened or indexed
33,foodpanda Bangladesh Limited,Food Delivery,https://www.foodpanda.com.bd,https://www.foodpanda.com.bd/contents/privacy.htm,8/26/2026,Official page opened or indexed
34,The Grocer,Online Grocery and Retail,https://www.grocer.com.bd,https://www.grocer.com.bd/policies/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
35,Sashroye Bangladesh,E-commerce Marketplace,https://sashroye.com.bd,https://sashroye.com.bd/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
36,AYESH,E-commerce,https://ayesh.com.bd,https://ayesh.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
37,Aiwibi Bangladesh,Baby Care Retail,https://aiwibi.com.bd,https://aiwibi.com.bd/policies/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
38,Koleer Bangladesh,Retail and Consumer Goods,https://koleer.com.bd,https://koleer.com.bd/privacy-policy/,8/26/2026,Official page indexed; direct open inconclusive
39,Wearix Shop,Fashion E-commerce,https://wearix.com.bd,https://wearix.com.bd/legal/privacy-policy/,8/26/2026,Official page indexed; direct open inconclusive
40,HalalBari,E-commerce Marketplace,https://halalbari.com,https://halalbari.com/page/privacy-policy,8/26/2026,Official page opened or indexed
41,Armadea,Retail and E-commerce,https://armadea.com.bd,https://armadea.com.bd/venture/privacy_policy,8/26/2026,Official page opened or indexed
42,Kallol Limited - Titan Watches Bangladesh,Retail and Consumer Goods,https://titanwatches.com.bd,https://titanwatches.com.bd/pages/privacy-notice,8/26/2026,Official page opened or indexed
43,Bata Shoe Company Bangladesh Limited,Footwear Retail and Manufacturing,https://www.batabd.com,https://www.batabd.com/pages/privacy-policy,8/26/2026,Official page opened or indexed
44,Uttara Motors Limited - Suzuki Bangladesh,Automotive,https://www.suzukicar.com.bd,https://www.suzukicar.com.bd/privacypolicy,8/26/2026,Official page opened or indexed
45,itel Bangladesh,Consumer Electronics,https://www.itel-life.com/bd,https://www.itel-life.com/bd/provisions/privacy-policy,8/26/2026,Official page opened or indexed
46,Samsung Bangladesh,Consumer Electronics,https://www.samsung.com/bd,https://www.samsung.com/bd/info/privacy/,8/26/2026,Official page opened or indexed
47,Little Trees Bangladesh,Automotive Accessories Retail,https://www.littletrees.com.bd,https://www.littletrees.com.bd/privacy-policy/,8/26/2026,Official page indexed; direct open inconclusive
48,Fiza & Co. Private Limited,Retail and Consumer Goods,https://fiza.com.bd,https://fiza.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
49,Kyoritsu Bangladesh,Industrial Equipment Retail,https://kyoritsu.com.bd,https://kyoritsu.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
50,Watermark Engineering Bangladesh,Engineering and Technical Services,https://www.watermark.com.bd,https://www.watermark.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
51,Extended Warranty Bangladesh,Warranty and After-sales Services,https://www.extendedwarranty.com.bd,https://www.extendedwarranty.com.bd/privacy-policy.php,8/26/2026,Official page opened or indexed
52,Clothing Factory Bangladesh,Garment Manufacturing,https://clothingfactorybangladesh.com,https://clothingfactorybangladesh.com/privacy-policy/,8/26/2026,Official page opened or indexed
