No.,Company Name,Industry,Official Website,Privacy Policy URL,Date Collected,URL Access Check
11,BASIC Bank PLC,Banking,https://basicbankplc.com,https://basicbankplc.com/en/page-details/basic-i-account-privacy-policy,8/26/2026,Official page opened or indexed
1,Grameenphone Limited,Telecommunications,https://www.grameenphone.com,https://www.grameenphone.com/privacy-notice,8/26/2026,Official page opened or indexed
8,bKash Limited,Mobile Financial Services,https://www.bkash.com,https://www.bkash.com/en/page/privacy-notice,8/26/2026,Official page opened or indexed
25,Othoba.com,E-commerce,https://www.othoba.com,https://www.othoba.com/privacy-policy,8/26/2026,Official page opened or indexed
24,Daraz Bangladesh Limited,E-commerce Marketplace,https://www.daraz.com.bd,https://www.daraz.com.bd/privacy-policy/,8/26/2026,Official page opened or indexed
42,Kallol Limited - Titan Watches Bangladesh,Retail and Consumer Goods,https://titanwatches.com.bd,https://titanwatches.com.bd/pages/privacy-notice,8/26/2026,Official page opened or indexed
61,My Lab Medical and Diagnostic Centre Private Limited,Healthcare and Diagnostics,https://mylab.com.bd,https://mylab.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
63,Samitivej Hospital Bangladesh,Healthcare Provider,https://www.samitivejhospital-bangladesh.com,https://www.samitivejhospital-bangladesh.com/privacy-policy,8/26/2026,Official page opened or indexed
97,Prothom Alo,News Media,https://www.prothomalo.com,https://www.prothomalo.com/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
6,Bangladesh Export Import Company Limited - IT Division,Software and IT,https://bol-online.com,https://bol-online.com/privacy-policy,8/26/2026,Official page opened or indexed
19,Bangladesh Finance PLC,Non-bank Financial Institution,https://bd.finance,https://bd.finance/privacy-policy,8/26/2026,Official page opened or indexed
21,MetLife Bangladesh,Insurance,https://www.metlife.com.bd,https://www.metlife.com.bd/online-privacy-policy/,8/26/2026,Official page opened or indexed
31,GoZayaan Limited,Online Travel Agency,https://gozayaan.com,https://gozayaan.com/privacy-policy,8/26/2026,Official page opened or indexed
45,itel Bangladesh,Consumer Electronics,https://www.itel-life.com/bd,https://www.itel-life.com/bd/provisions/privacy-policy,8/26/2026,Official page opened or indexed
70,Online Medicine Zone,Online Pharmacy,https://onlinemedicinezone.com,https://onlinemedicinezone.com/pages/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
75,Bangladesh University,Higher Education,https://bu.edu.bd,https://bu.edu.bd/privacy-policy/,8/26/2026,Official page opened or indexed
77,Shonod - Digital Study Room,Online Education Platform,https://www.digitalstudyroom.com,https://www.digitalstudyroom.com/privacy-policy,8/26/2026,Official page opened or indexed
80,Daffodil International Professional Training Institute,Professional Training,https://dipti.com.bd,https://dipti.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
83,Nextgen EdTech Services Limited - Deeni Madrasa,EdTech,https://deenimadrasa.com,https://deenimadrasa.com/privacy-policy/,8/26/2026,Official page opened or indexed
85,MalishaEdu,Education Consultancy,https://malishaedu.com,https://malishaedu.com/privacy-policy,8/26/2026,Official page opened or indexed
90,Utsho IT,Software and IT Services,https://www.utshoit.com.bd,https://www.utshoit.com.bd/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
5,Link3 Technologies Limited,Internet Service Provider,https://www.link3.net,https://www.link3.net/privacy-and-policy,8/26/2026,Official page opened or indexed
7,Dhaka Power Distribution Company Limited,Utilities and Digital Services,https://dpdc.org.bd,https://dpdc.org.bd/site/privacy-policy.html,8/26/2026,Official page opened or indexed
26,Shajgoj Limited,Beauty Retail and E-commerce,https://shop.shajgoj.com,https://shop.shajgoj.com/privacy-policy,8/26/2026,Official page opened or indexed
27,Chaldal Limited,Online Grocery and E-commerce,https://chaldal.com,https://chaldal.com/t/PrivacyInfo,8/26/2026,Official page opened or indexed
28,Bproperty.com Limited,Real Estate Marketplace,https://www.bproperty.com,https://www.bproperty.com/privacy-policy,8/26/2026,Official page opened or indexed
29,Shohoz Limited,Travel and Ticketing,https://www.shohoz.com,https://www.shohoz.com/privacy-policy,8/26/2026,Official page opened or indexed
30,Truck Lagbe Limited,Logistics Marketplace,https://trucklagbe.com,https://trucklagbe.com/privacy-policy,8/26/2026,Official page opened or indexed
33,foodpanda Bangladesh Limited,Food Delivery,https://www.foodpanda.com.bd,https://www.foodpanda.com.bd/contents/privacy.htm,8/26/2026,Official page opened or indexed
34,The Grocer,Online Grocery and Retail,https://www.grocer.com.bd,https://www.grocer.com.bd/policies/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
37,Aiwibi Bangladesh,Baby Care Retail,https://aiwibi.com.bd,https://aiwibi.com.bd/policies/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
39,Wearix Shop,Fashion E-commerce,https://wearix.com.bd,https://wearix.com.bd/legal/privacy-policy/,8/26/2026,Official page indexed; direct open inconclusive
41,Armadea,Retail and E-commerce,https://armadea.com.bd,https://armadea.com.bd/venture/privacy_policy,8/26/2026,Official page opened or indexed
43,Bata Shoe Company Bangladesh Limited,Footwear Retail and Manufacturing,https://www.batabd.com,https://www.batabd.com/pages/privacy-policy,8/26/2026,Official page opened or indexed
44,Uttara Motors Limited - Suzuki Bangladesh,Automotive,https://www.suzukicar.com.bd,https://www.suzukicar.com.bd/privacypolicy,8/26/2026,Official page opened or indexed
